time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
3.250000000000000111e-02,-2.272220950383962412e-05,-1.406642014194288371e-03,1.814277150477757242e-02,4.314210999421319581e-02,1.744259772231615893e-02,-1.326110416081558666e-03,1.745333661838924938e-02,8.170240611737065382e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,-2.637764495130811394e-05,-1.517816265723459686e-03,1.825507475215577477e-02,4.670959135296350040e-02,1.743887311420086808e-02,-1.662203574233745524e-03,1.745336142640978999e-02,1.186051968265010649e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,-3.031186310812587572e-05,-1.629677316205196741e-03,1.837636685824754409e-02,5.033395735425328504e-02,1.743424171970035449e-02,-2.052289817600026420e-03,1.745339694718583273e-02,1.678547772698229431e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-3.452664983407125924e-05,-1.742280402671843049e-03,1.850679578232831274e-02,5.401982476199374689e-02,1.742856286955807299e-02,-2.500943096109562412e-03,1.745344662209465450e-02,2.323592481241206243e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,-3.902393021374398656e-05,-1.855681679635138833e-03,1.864652116898325718e-02,5.777192655407904082e-02,1.742168426932588776e-02,-3.012891623885491192e-03,1.745351467402563722e-02,3.154686839445793121e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,-4.380577093859642742e-05,-1.969938290035225508e-03,1.879571464995008837e-02,6.159512101134866080e-02,1.741344159847088915e-02,-3.593030128507491636e-03,1.745360622249298929e-02,4.210123386424092942e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000056e-02,-4.887438286850899830e-05,-2.085108437947460862e-03,1.895456016901234803e-02,6.549440107222226359e-02,1.740365807837403536e-02,-4.246432493054780669e-03,1.745372740824326779e-02,5.533374179433040205e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-5.423212377745894333e-05,-2.201251463171197999e-03,1.912325433063160468e-02,6.947490397249266036e-02,1.739214400820252027e-02,-4.978364820010529844e-03,1.745388552776427210e-02,7.173495383080795819e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,-5.988150128814478804e-05,-2.318427917826746971e-03,1.930200677305636894e-02,7.354192119026646546e-02,1.737869626756399083e-02,-5.794298946913629782e-03,1.745408917813231348e-02,9.185549957581935938e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000028e-02,-6.582517600074684139e-05,-2.436699645088776303e-03,1.949104056669610091e-02,7.770090871656851195e-02,1.736309778477505145e-02,-6.699926444488957938e-03,1.745434841266615619e-02,1.163104972251277055e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000250e-02,-7.206596482132719716e-05,-2.556129860186434968e-03,1.969059263860068604e-02,8.195749767267343500e-02,1.734511696949849260e-02,-7.701173128869936817e-03,1.745467490788847956e-02,1.457841811690298501e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-7.860684449570098866e-05,-2.676783233802410445e-03,1.990091422393911944e-02,8.631750529579364228e-02,1.732450710842357161e-02,-8.804214120444124603e-03,1.745508214232922503e-02,1.810347502322120225e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,-8.545095535494344669e-05,-2.798725978004953669e-03,2.012227134542593845e-02,9.078694631533291981e-02,1.730100572258112465e-02,-1.001548948279944694e-02,1.745558558774004676e-02,2.228994507177195570e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-02,-9.260160527903428084e-05,-2.922025934848554874e-03,2.035494532170016579e-02,9.537204474250618458e-02,1.727433388480040591e-02,-1.134172047622073430e-02,1.745620291332511745e-02,2.722999089314673531e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,-1.000622738854823734e-04,-3.046752667780373326e-03,2.059923330571934025e-02,1.000792460967231401e-01,1.724419549572718882e-02,-1.278992646117701505e-02,1.745695420363086933e-02,3.302477283951706067e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,-1.078366169501175420e-04,-3.172977555990635478e-03,2.085544885429037668e-02,1.049152300927314041e-01,1.721027651673279549e-02,-1.436744248824254992e-02,1.745786219077599677e-02,3.978503675055920330e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999500e-02,-1.159284710675830042e-04,-3.300773891845966337e-03,2.112392252991979191e-02,1.098869238131057607e-01,1.717224415795139819e-02,-1.608193761189963267e-02,1.745895250174309479e-02,4.763173139645319174e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,-1.243418585594097993e-04,-3.430216981544883387e-03,2.140500253622798499e-02,1.150015153912475885e-01,1.712974601958800261e-02,-1.794143396666840820e-02,1.746025392149489278e-02,5.669665728841909516e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.749999999999999944e-02,-1.330809926379025862e-04,-3.561384249134375794e-03,2.169905538823588623e-02,1.202664682306114063e-01,1.708240918454223545e-02,-1.995432664498557676e-02,1.746179867272100450e-02,6.712314860632458569e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,-1.421502828344118556e-04,-3.694355344025491115e-03,2.200646661889724479e-02,1.256895357863938578e-01,1.702983926029330228e-02,-2.212940441719495055e-02,1.746362271306560812e-02,7.906679005259447182e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,-1.515543407009110660e-04,-3.829212252143999063e-03,2.232764152331596919e-02,1.312787769363902846e-01,1.697161936788945877e-02,-2.447587133490048208e-02,1.746576605073247787e-02,9.269617050147598057e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,-1.612979857941333056e-04,-3.966039410849359070e-03,2.266300594215528430e-02,1.370425719681302723e-01,1.690730907578114062e-02,-2.700336925974581442e-02,1.746827307941119234e-02,1.081936753720604298e-03,0.000000000000000000e+00,0.000000000000000000e+00
