time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
3.500000000000000333e-02,6.099926575679734224e-03,3.488417626204866617e-01,-1.654248937623760754e-02,-1.977030377219753499e+00,-2.201416906931307621e-02,-2.301006392498731457e-01,2.005049437208721724e-02,1.507215651326342387e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,7.003296338367735741e-03,3.738574478383535071e-01,-2.167464383339617190e-02,-2.129041589514739208e+00,-2.259849689627604907e-02,-2.370592597856119310e-01,2.044146124729218778e-02,1.620617894988770902e-01,8.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.969231177845394892e-03,3.988939595578676056e-01,-2.718948440409684961e-02,-2.283196992591896901e+00,-2.319791738239102355e-02,-2.421605898655786460e-01,2.086084604393548605e-02,1.734530608744972724e-01,8.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.997784072831745833e-03,4.239519848862331464e-01,-3.309249988753405064e-02,-2.439597328995321224e+00,-2.380768592195964609e-02,-2.453255888326581757e-01,2.130875338593284790e-02,1.848763002654864318e-01,8.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,1.008900938484641636e-02,4.490319374364795668e-01,-3.938941582489394189e-02,-2.598330939981108756e+00,-2.442287668688044797e-02,-2.464886954281650666e-01,2.178523499220622744e-02,1.963082338290845219e-01,8.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000056e-02,1.124296213201452649e-02,4.741339229416527967e-01,-4.608616109261121085e-02,-2.759471810609229969e+00,-2.503841925544146238e-02,-2.456002164773009311e-01,2.229027898945462605e-02,2.077212397231316676e-01,8.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.245969717385593534e-02,4.992577024678999664e-01,-5.318882936972454262e-02,-2.923077425097050597e+00,-2.564914154637257249e-02,-2.426289820903740069e-01,2.282379889819536808e-02,2.190832415783598996e-01,8.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,1.373926830141708466e-02,5.244026535416997925e-01,-6.070363501740554113e-02,-3.089186443942077531e+00,-2.624981971788829457e-02,-2.375652603438860866e-01,2.338562242190550533e-02,2.303576593952793572e-01,8.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000028e-02,1.508172722810356692e-02,5.495677296813175072e-01,-6.863686295024705453e-02,-3.257816224908254288e+00,-2.683523565923912058e-02,-2.304239122100537329e-01,2.397548019738782524e-02,2.415034296583592477e-01,8.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000250e-02,1.648712247804931877e-02,5.747514190300090364e-01,-7.699481214988058986e-02,-3.428960222978765238e+00,-2.740024263574956584e-02,-2.212477521995727114e-01,2.459299469488684942e-02,2.524751071284190851e-01,8.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,1.795549817089404920e-02,5.999517030268227691e-01,-8.578373257806895524e-02,-3.602585319832082078e+00,-2.793983953947398735e-02,-2.101110616356476057e-01,2.523766948797411674e-02,2.632230609494859430e-01,8.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,1.948689270450551167e-02,6.251660163146870453e-01,-9.500975539451179952e-02,-3.778629151099788253e+00,-2.844925403841329359e-02,-1.971231797954173248e-01,2.590887914433466499e-02,2.736937771912417716e-01,8.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-02,2.108133734052968639e-02,6.503912093647333803e-01,-1.046788165792714165e-01,-3.956997519111513650e+00,-2.892403470035552135e-02,-1.824320737948461890e-01,2.660586001732485537e-02,2.838302785274082751e-01,8.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,2.273885470170007583e-02,6.756235155745748955e-01,-1.147965743043076609e-01,-4.137561999127779444e+00,-2.936015188717691973e-02,-1.662277619741321100e-01,2.732770224200026937e-02,2.935726692090060985e-01,8.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.445569634930826533e-02,6.953980946040321243e-01,-1.253464155479538378e-01,-4.288396573355824692e+00,-2.975351395543476482e-02,-1.478387270744092319e-01,2.807365846477976462e-02,3.033286761637277729e-01,3.338249507767013569e+00,0.000000000000000000e+00
7.249999999999999500e-02,2.619995016734907867e-02,6.970491548442674379e-01,-1.361483854735404675e-01,-4.336575541564343439e+00,-3.009505649102748800e-02,-1.244334926974533240e-01,2.884552974439068621e-02,3.144298421660011167e-01,-2.367090812521741583e+00,0.000000000000000000e+00
7.499999999999999722e-02,2.792719873558999200e-02,6.821828457434770954e-01,-1.469529690554521872e-01,-4.293006176389328132e+00,-3.037031276703465454e-02,-9.459104331324323656e-02,2.964723680264436459e-02,3.272430354522704032e-01,-7.336105162865649731e+00,0.000000000000000000e+00
7.749999999999999944e-02,2.960297859993347644e-02,6.581093997990965505e-01,-1.575719477574547001e-01,-4.201074065854998985e+00,-3.056269560041714392e-02,-5.850550651755034165e-02,3.048293349337019911e-02,3.414371326170927978e-01,-8.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,3.121780710653739022e-02,6.337656002469329586e-01,-1.679626778896231576e-01,-4.112373714361109656e+00,-3.065920928418140734e-02,-1.797810437128913308e-02,3.135484589280167905e-02,3.561740200596579253e-01,-8.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,3.277186710886999949e-02,6.094944034248745979e-01,-1.781381107877385850e-01,-4.028826688174688364e+00,-3.064894836187775570e-02,2.691461025056093165e-02,3.226419226194728040e-02,3.713770829045381916e-01,-8.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,3.426533856938122208e-02,5.852945361210198927e-01,-1.881110539339630738e-01,-3.950370818999887845e+00,-3.052100067946903264e-02,7.617006919086752315e-02,3.321208247774676270e-02,3.870013203986876205e-01,-8.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-02,3.569839799698805438e-02,5.611645134514205990e-01,-1.978941487102544861e-01,-3.876935618927529692e+00,-3.026447222126107256e-02,1.297766238545502160e-01,3.419950979537383917e-02,4.029984438614646614e-01,-8.000000000000000000e+00,0.000000000000000000e+00
