time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
6.500000000000000222e-02,-2.746637556315054693e-04,-8.587047878924013861e-03,5.794744204600155851e-02,1.772280935924976930e-01,5.220702082852711479e-02,-9.513360962968214068e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,-2.965721567510737019e-04,-8.940111647828267311e-03,5.840011329707105181e-02,1.849258173168248365e-01,5.218179587506707739e-02,-1.068215413540713095e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,-3.193665543588734943e-04,-9.295864118828486150e-03,5.887215755222708485e-02,1.927272510081131929e-01,5.215353050270585961e-02,-1.194642124415405508e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999500e-02,-3.430538136334549456e-04,-9.654420256845942447e-03,5.936383977453640881e-02,2.006369582884434399e-01,5.212198054902537209e-02,-1.331056024511493782e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,-3.676410888842433756e-04,-1.001589641030692021e-02,5.987543643575329866e-02,2.086595830351245517e-01,5.208689073585550527e-02,-1.477906645210276190e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.749999999999999944e-02,-3.931358270751171839e-04,-1.038041036297810034e-02,6.040723572109426426e-02,2.167998526966619099e-01,5.204799442084850902e-02,-1.635653656969247513e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,-4.195457714774234034e-04,-1.074808138567151516e-02,6.095953774235265271e-02,2.250625816487127895e-01,5.200501333890993755e-02,-1.804767277509303908e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,-4.468789654520288692e-04,-1.111903028775696606e-02,6.153265475945308982e-02,2.334526745899811739e-01,5.195765733336391717e-02,-1.985728684874203329e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,-4.751437563598391546e-04,-1.149337946841156623e-02,6.212691141054534072e-02,2.419751299777722631e-01,5.190562407673163237e-02,-2.179030435300995799e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-02,-5.043487996000314269e-04,-1.187125296752714575e-02,6.274264495073607339e-02,2.506350435026710177e-01,5.184859878100388925e-02,-2.385176885804902655e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,-5.345030627750362289e-04,-1.225277651618651709e-02,6.338020549955540595e-02,2.594376116015265077e-01,5.178625389729146072e-02,-2.604684621343234668e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.249999999999999889e-02,-5.656158299810688968e-04,-1.263807758660904362e-02,6.403995629725268979e-02,2.683881350076104400e-01,5.171824880474094194e-02,-2.838082886380004916e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000111e-02,-5.976967062227466149e-04,-1.302728544145448884e-02,6.472227397001259486e-02,2.774920223364743532e-01,5.164422948860875745e-02,-3.085914020625542958e-02,0.000000000000000000e+00,0.000000000000000000e+00
