time_s,x_m,v_m_s,theta_rad,omega_rad_s,force_N,push_N
5.000000000000000278e-02,4.214582200934115404e-03,1.467698597320393206e-01,4.519234083175005523e-02,-2.443510518247047070e-01,1.500722192204549721e+00,0.000000000000000000e+00
5.249999999999999806e-02,4.586876701184689452e-03,1.510265030896241201e-01,4.457349172428198836e-02,-2.506549310439038503e-01,1.424455888232274869e+00,0.000000000000000000e+00
5.500000000000000028e-02,4.969521626640730806e-03,1.550514228119395932e-01,4.393942619135435268e-02,-2.565267561181963085e-01,1.350493212088452299e+00,0.000000000000000000e+00
5.750000000000000250e-02,5.361946761716264095e-03,1.588518627044113729e-01,4.329120531740269368e-02,-2.619816972442776115e-01,1.278777258137818063e+00,0.000000000000000000e+00
5.999999999999999778e-02,5.763599769599125205e-03,1.624348826665928947e-01,4.262985278616257534e-02,-2.670345064832484461e-01,1.209252330033818268e+00,0.000000000000000000e+00
6.250000000000000000e-02,6.173945737592239150e-03,1.658073627617204504e-01,4.195635591338087861e-02,-2.716995278209666242e-01,1.141863916448862426e+00,0.000000000000000000e+00
6.500000000000000222e-02,6.592466732515964503e-03,1.689760071965096810e-01,4.127166665468612328e-02,-2.759907069818828274e-01,1.076558667535083558e+00,0.000000000000000000e+00
6.750000000000000444e-02,7.018661365950794664e-03,1.719473482141191667e-01,4.057670258922366907e-02,-2.799216010046768344e-01,1.013284372074974460e+00,0.000000000000000000e+00
7.000000000000000666e-02,7.452044369106840260e-03,1.747277499030703007e-01,3.987234787964120258e-02,-2.835053875876711316e-01,9.519899352829899186e-01,0.000000000000000000e+00
7.249999999999999500e-02,7.892146177113342279e-03,1.773234119247780183e-01,3.915945420899051566e-02,-2.867548742116576843e-01,8.926253572210613996e-01,0.000000000000000000e+00
7.499999999999999722e-02,8.338512522527912613e-03,1.797403731622150003e-01,3.843884169509275556e-02,-2.896825070474378649e-01,8.351417117928376932e-01,0.000000000000000000e+00
7.749999999999999944e-02,8.790704037871360441e-03,1.819845152921047982e-01,3.771129978289670948e-02,-2.923003796550424638e-01,7.794911262833821297e-01,0.000000000000000000e+00
8.000000000000000167e-02,9.248295866999791531e-03,1.840615662829149513e-01,3.697758811534244267e-02,-2.946202414812764125e-01,7.256267614129123800e-01,0.000000000000000000e+00
8.250000000000000389e-02,9.710877285131199604e-03,1.859771038208027916e-01,3.623843738322654606e-02,-2.966535061619150482e-01,6.735027918751379516e-01,0.000000000000000000e+00
8.500000000000000611e-02,1.017805132734898692e-02,1.877365586655524998e-01,3.549455015454979628e-02,-2.984112596345762092e-01,6.230743873325010895e-01,0.000000000000000000e+00
8.750000000000000833e-02,1.064943442540984553e-02,1.893452179384328415e-01,3.474660168381326492e-02,-2.999042680679954165e-01,5.742976938425563560e-01,0.000000000000000000e+00
