time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
2.999999999999999889e-02,5.864685414490567426e-04,3.913776579285103974e-02,3.143924778952336130e+00,1.547202323502105126e-01,3.141606388309659881e+00,1.828012744215707893e-03,1.053614079847129847e+00,0.000000000000000000e+00
3.250000000000000111e-02,6.883984715061994318e-04,4.240616004437978981e-02,3.144327318921060321e+00,1.672985770308426379e-01,3.141611559374121843e+00,2.321857396996251065e-03,1.054614884568999766e+00,0.000000000000000000e+00
3.500000000000000333e-02,7.984990459499147035e-04,4.567422600742947897e-02,3.144761202663032051e+00,1.797940230564008257e-01,3.141618065172948615e+00,2.896787712337073502e-03,1.055571489215074266e+00,0.000000000000000000e+00
3.749999999999999861e-02,9.167690306647242361e-04,4.894163346077913535e-02,3.145226213751647570e+00,1.921992384382930352e-01,3.141626115795015828e+00,3.558690380300227711e-03,1.056484453346392183e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.043206371182784460e-03,5.220805691772176932e-02,3.145722117528251704e+00,2.045069726417191869e-01,3.141635935945140901e+00,4.313370411092544952e-03,1.057355404618545602e+00,0.000000000000000000e+00
4.250000000000000305e-02,1.177808208573660319e-03,5.547317877148280618e-02,3.146248661328137963e+00,2.167100740821875093e-01,3.141647764732000692e+00,5.166544835906373978e-03,1.058186852703387970e+00,0.000000000000000000e+00
4.499999999999999833e-02,1.320570903043379735e-03,5.873669253766664045e-02,3.146805574749621304e+00,2.288015079680483788e-01,3.141661855440353257e+00,6.123836449979838670e-03,1.058982424920077436e+00,0.000000000000000000e+00
4.750000000000000056e-02,1.471490065671750801e-03,6.199830578095109901e-02,3.147392569967783160e+00,2.407743728279337636e-01,3.141678475287681849e+00,7.190767609021899570e-03,1.059746447430100380e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.630560596446276999e-03,6.525774246388088562e-02,3.148009342085380524e+00,2.526219146648510661e-01,3.141697905165405924e+00,8.372754089986805814e-03,1.060483983948923514e+00,0.000000000000000000e+00
5.249999999999999806e-02,1.797776728046376719e-03,6.851474509673116664e-02,3.148655569518565400e+00,2.643375402438448707e-01,3.141720439364839024e+00,9.675099026724042622e-03,1.061200679837712491e+00,0.000000000000000000e+00
5.500000000000000028e-02,1.973132074924469678e-03,7.176907701875923085e-02,3.149330914415415350e+00,2.759148308255540694e-01,3.141746385288087584e+00,1.110298693122532994e-02,1.061902976494923934e+00,0.000000000000000000e+00
5.750000000000000250e-02,2.156619688057611998e-03,7.502052433607228621e-02,3.150035023108557652e+00,2.873475544374575752e-01,3.141776063144122055e+00,1.266147781150954790e-02,1.062597717374898165e+00,0.000000000000000000e+00
5.999999999999999778e-02,2.348232113635428334e-03,7.826889736593410640e-02,3.150767526594719481e+00,2.986296760733769817e-01,3.141809805630275676e+00,1.435550139693603580e-02,1.063292202108104822e+00,0.000000000000000000e+00
6.250000000000000000e-02,2.547961455366878382e-03,8.151403201819848454e-02,3.151528041039677319e+00,3.097553675357521130e-01,3.141847957599451124e+00,1.618985148149092168e-02,1.063994107813764023e+00,0.000000000000000000e+00
6.500000000000000222e-02,2.755799440144882095e-03,8.475579116069989483e-02,3.152316168307289335e+00,3.207190170997836209e-01,3.141890875713344577e+00,1.816918039573274871e-02,1.064711525341367704e+00,0.000000000000000000e+00
6.750000000000000444e-02,2.971737486849464292e-03,8.799406563869721642e-02,3.153131496511436982e+00,3.315152376718061289e-01,3.141938928082020244e+00,2.029799361794066767e-02,1.065452754158214388e+00,0.000000000000000000e+00
7.000000000000000666e-02,3.195766777244414287e-03,9.122877504280489658e-02,3.153973600586380766e+00,3.421388738119494621e-01,3.141992493890198634e+00,2.258064453481958833e-02,1.066226314148823073e+00,0.000000000000000000e+00
7.249999999999999500e-02,3.427878328808807093e-03,9.445986848919091239e-02,3.154842042874565600e+00,3.525850086687206675e-01,3.142051963010644489e+00,2.502132936209853706e-02,1.067040958073165013e+00,0.000000000000000000e+00
7.499999999999999722e-02,3.668063069325025807e-03,9.768732512932247480e-02,3.155736373730804178e+00,3.628489696875378256e-01,3.142117735605064688e+00,2.762408223493003148e-02,1.067905461478317442e+00,0.000000000000000000e+00
7.749999999999999944e-02,3.916311912200850023e-03,1.009111543737210293e-01,3.156656132138385917e+00,3.729263330244050323e-01,3.142190221712957143e+00,3.039277047762786038e-02,1.068828693816281206e+00,0.000000000000000000e+00
8.000000000000000167e-02,4.172615832502650328e-03,1.041313961646970210e-01,3.157600846336630518e+00,3.828129279980416744e-01,3.142269840828865846e+00,3.333109006238868521e-02,1.069819551452941164e+00,0.000000000000000000e+00
