time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
1.199999999999999956e-01,9.332378186513242031e-04,1.413793143984869993e-01,6.864990990656169578e-02,-1.933197398985336546e-01,4.698751739777811548e-02,-1.312225082738078252e-01,2.049880656685761693e+00,0.000000000000000000e+00
1.224999999999999978e-01,1.294063969624990136e-03,1.472602684389197891e-01,6.814824101235611442e-02,-2.079415358520415591e-01,4.665409621710043392e-02,-1.355084482375475963e-01,2.008293894110939171e+00,0.000000000000000000e+00
1.250000000000000000e-01,1.669430737364241673e-03,1.530111556863173461e-01,6.761057577123272266e-02,-2.221152257401988739e-01,4.631000724870949076e-02,-1.397558958194832224e-01,1.965373088663161738e+00,0.000000000000000000e+00
1.275000000000000022e-01,2.059008265900692282e-03,1.586283034434919914e-01,6.703804567645764434e-02,-2.358321015501571305e-01,4.595535294831080281e-02,-1.439599093080667636e-01,1.921271463895191545e+00,0.000000000000000000e+00
1.300000000000000044e-01,2.462458095518725142e-03,1.641084972241262097e-01,6.643180197637962858e-02,-2.490850502303361136e-01,4.559024783990973245e-02,-1.481157758321778317e-01,1.876134252227511290e+00,0.000000000000000000e+00
1.325000000000000067e-01,2.879434277313718590e-03,1.694489561429595170e-01,6.579301181245685026e-02,-2.618684541471177907e-01,4.521481794364209245e-02,-1.522190112772938420e-01,1.830098999946667249e+00,0.000000000000000000e+00
1.350000000000000089e-01,3.309584427440220768e-03,1.746473092678069161e-01,6.512285460027034123e-02,-2.741780961877278711e-01,4.482920020481877266e-02,-1.562653594114894740e-01,1.783295854597969132e+00,0.000000000000000000e+00
1.375000000000000111e-01,3.752550723384682346e-03,1.797015728786530708e-01,6.442251864227772906e-02,-2.860110692194683391e-01,4.443354192606092240e-02,-1.602507902998010214e-01,1.735847837063956511e+00,0.000000000000000000e+00
1.400000000000000133e-01,4.207970844469324442e-03,1.846101285860353991e-01,6.369319796174574555e-02,-2.973656896467740118e-01,4.402800020421058363e-02,-1.641714980815444092e-01,1.687871100394237267e+00,0.000000000000000000e+00
1.425000000000000155e-01,4.675478858682234964e-03,1.893717022672023742e-01,6.293608934791015963e-02,-3.082414148361458106e-01,4.361274137352050967e-02,-1.680238981811114085e-01,1.639475177230329095e+00,0.000000000000000000e+00
1.449999999999999900e-01,5.154706057832135133e-03,1.939853437841279338e-01,6.215238960295351583e-02,-3.186387642048995050e-01,4.318794045645553414e-02,-1.718046240186297535e-01,1.590763217453482703e+00,0.000000000000000000e+00
1.474999999999999922e-01,5.645281742942763123e-03,1.984504074523973927e-01,6.134329298187179980e-02,-3.285592437929173437e-01,4.275378062327721274e-02,-1.755105232827020578e-01,1.541832217476470035e+00,0.000000000000000000e+00
1.499999999999999944e-01,6.146833961729872807e-03,2.027665332342860061e-01,6.050998881672673552e-02,-3.380052741572963648e-01,4.231045266143314276e-02,-1.791386538232708492e-01,1.492773242403256262e+00,0.000000000000000000e+00
1.524999999999999967e-01,6.658990199941895553e-03,2.069336286330564767e-01,5.965365931715729125e-02,-3.469801214480520146e-01,4.185815445563235287e-02,-1.826862792185305340e-01,1.443671642095265106e+00,0.000000000000000000e+00
1.549999999999999989e-01,7.181378028291931712e-03,2.109518512686473501e-01,5.877547753935821045e-02,-3.554878315389936594e-01,4.139709047935851566e-02,-1.861508640657495162e-01,1.394607262010136850e+00,0.000000000000000000e+00
1.575000000000000011e-01,7.713625706662540979e-03,2.148215921175460619e-01,5.787660551603045905e-02,-3.635331671016747701e-01,4.092747129845298454e-02,-1.895300690419069733e-01,1.345654649519688384e+00,0.000000000000000000e+00
1.600000000000000033e-01,8.255362747224569142e-03,2.185434594017830467e-01,5.695819254007353921e-02,-3.711215475220894233e-01,4.044951308728978595e-02,-1.928217457762105291e-01,1.296883256268342777e+00,0.000000000000000000e+00
1.625000000000000056e-01,8.806220438075794410e-03,2.221182631136873198e-01,5.602137359502768615e-02,-3.782589915696954463e-01,3.996343715796407681e-02,-1.960239315728656007e-01,1.248357637001961784e+00,0.000000000000000000e+00
1.650000000000000078e-01,9.365832328973505705e-03,2.255470001643540279e-01,5.506726792548950755e-02,-3.849520627365536352e-01,3.946946950282428229e-02,-1.991348440189290581e-01,1.200137645179949253e+00,0.000000000000000000e+00
1.675000000000000100e-01,9.933834680706261216e-03,2.288308401447336216e-01,5.409697774092139116e-02,-3.912078171710500207e-01,3.896784035059509127e-02,-2.021528755087137474e-01,1.152278625580072102e+00,0.000000000000000000e+00
1.700000000000000122e-01,1.050986687962322461e-02,2.319711116889018876e-01,5.311158704645698586e-02,-3.970337541359702516e-01,3.845878373626398367e-02,-2.050765877130256709e-01,1.104831604015847901e+00,0.000000000000000000e+00
1.725000000000000144e-01,1.109357181881390035e-02,2.349692894294531098e-01,5.211216059447530691e-02,-4.024377689247883305e-01,3.794253708483698306e-02,-2.079047060185193474e-01,1.057843474209605006e+00,0.000000000000000000e+00
1.750000000000000167e-01,1.168459624740618603e-02,2.378269815351123917e-01,5.109974295087731794e-02,-4.074281081730647402e-01,3.741934080900970183e-02,-2.106361139596528709e-01,1.011357181799989569e+00,0.000000000000000000e+00
1.774999999999999911e-01,1.228259108942589446e-02,2.405459178206272308e-01,5.007535767015385691e-02,-4.120133275039742360e-01,3.688943792074675376e-02,-2.132698476631144646e-01,9.654119054100842590e-01,0.000000000000000000e+00
1.799999999999999933e-01,1.288721173363582655e-02,2.431279384188058668e-01,4.904000657348423636e-02,-4.162022514483373348e-01,3.635307365671613250e-02,-2.158050903221761241e-01,9.200432346604383582e-01,0.000000000000000000e+00
1.824999999999999956e-01,1.349811829574677421e-02,2.455749830042547877e-01,4.799466912425306292e-02,-4.200039355802484553e-01,3.581049511748416597e-02,-2.182411667162036106e-01,8.752833449795112131e-01,0.000000000000000000e+00
1.849999999999999978e-01,1.411497585436624104e-02,2.478890805579598289e-01,4.694030189551964133e-02,-4.234276308095948904e-01,3.526195092034136586e-02,-2.205775377885124122e-01,8.311611690412519238e-01,0.000000000000000000e+00
1.875000000000000000e-01,1.473745466202290577e-02,2.500723396613800942e-01,4.587783812412128681e-02,-4.264827497725597882e-01,3.470769086559867544e-02,-2.228137952938991639e-01,7.877025646449071772e-01,0.000000000000000000e+00
1.900000000000000022e-01,1.536523033257593436e-02,2.521269393082083421e-01,4.480818734623968902e-02,-4.291788352607013302e-01,3.414796561616762621e-02,-2.249496565254904823e-01,7.449304788448758430e-01,0.000000000000000000e+00
1.925000000000000044e-01,1.599798400628793180e-02,2.540551202214148541e-01,4.373223510940894843e-02,-4.315255306284879189e-01,3.358302639021560482e-02,-2.269849591290284962e-01,7.028651081373409326e-01,0.000000000000000000e+00
1.950000000000000067e-01,1.663540249380870278e-02,2.558591766626540642e-01,4.265084275609508369e-02,-4.335325521183292508e-01,3.301312466666891932e-02,-2.289196560113444245e-01,6.615240545149685403e-01,0.000000000000000000e+00
1.975000000000000089e-01,1.727717840028402188e-02,2.575414487205908709e-01,4.156484727413044949e-02,-4.352096630412474743e-01,3.243851190332112250e-02,-2.307538103485501646e-01,6.209224772100343515e-01,0.000000000000000000e+00
2.000000000000000111e-01,1.792301023076941016e-02,2.591043150642082793e-01,4.047506120944219937e-02,-4.365666497504380739e-01,3.185943926729144227e-02,-2.324875906983916163e-01,5.810732399592186681e-01,0.000000000000000000e+00
2.025000000000000133e-01,1.857260247809345080e-02,2.605501861467039437e-01,3.938227263667189171e-02,-4.376132993441340102e-01,3.127615737756839903e-02,-2.341212662202484807e-01,5.419870536395174909e-01,0.000000000000000000e+00
2.050000000000000155e-01,1.922566569427871380e-02,2.618814978451774467e-01,3.828724518344327199e-02,-4.383593790334481266e-01,3.068891605936607120e-02,-2.356552020054205610e-01,5.036726141429710424e-01,0.000000000000000000e+00
2.075000000000000178e-01,1.988191654659086580e-02,2.631007055209584333e-01,3.719071810419676688e-02,-4.388146171102633719e-01,3.009796411001469663e-02,-2.370898545196038487e-01,4.661367353782370770e-01,0.000000000000000000e+00
2.099999999999999922e-01,2.054107785924837865e-02,2.642102784851379504e-01,3.609340639967230369e-02,-4.389886854497969670e-01,2.950354907610349547e-02,-2.384257671588178307e-01,4.293844773083907995e-01,0.000000000000000000e+00
2.124999999999999944e-01,2.120287864178622972e-02,2.652126948536375761e-01,3.499600097828571565e-02,-4.388911834822001312e-01,2.890591704159106365e-02,-2.396635659194917001e-01,3.934192689564079970e-01,0.000000000000000000e+00
2.149999999999999967e-01,2.186705410502777155e-02,2.661104367759929423e-01,3.389916885580832734e-02,-4.385316235674848739e-01,2.830531242659756891e-02,-2.408039551829416203e-01,3.582430263321310093e-01,0.000000000000000000e+00
2.174999999999999989e-01,2.253334566557907773e-02,2.669059860219327729e-01,3.280355338992337749e-02,-4.379194177082023631e-01,2.770197779659290538e-02,-2.418477136140656514e-01,3.238562652566008282e-01,0.000000000000000000e+00
2.200000000000000011e-01,2.320150093972040903e-02,2.676018199098082473e-01,3.170977454639659077e-02,-4.370638655346339441e-01,2.709615368169585384e-02,-2.427956901737389761e-01,2.902582090813066173e-01,0.000000000000000000e+00
2.225000000000000033e-01,2.387127372752946217e-02,2.682004075609615845e-01,3.061842919376056918e-02,-4.359741434977980057e-01,2.648807840580092929e-02,-2.436488002441042910e-01,2.574468913207912379e-01,0.000000000000000000e+00
2.250000000000000056e-01,2.454242398803148026e-02,2.687042064642217176e-01,2.953009142357364974e-02,-4.346592952063149662e-01,2.587798792525197039e-02,-2.444080218657110892e-01,2.254192532367635948e-01,0.000000000000000000e+00
2.275000000000000078e-01,2.521471780613192964e-02,2.691156593348685289e-01,2.844531289347250122e-02,-4.331282228441055704e-01,2.526611567678431827e-02,-2.450743920852593849e-01,1.941712364306269478e-01,0.000000000000000000e+00
2.300000000000000100e-01,2.588792735204857240e-02,2.694371912526187796e-01,2.736462319039406968e-02,-4.313896796070067485e-01,2.465269243446087041e-02,-2.456490034125412003e-01,1.636978705184350957e-01,0.000000000000000000e+00
2.325000000000000122e-01,2.656183083392139876e-02,2.696712070634447733e-01,2.628853021149565178e-02,-4.294522630976708721e-01,2.403794617533083766e-02,-2.461330003850423775e-01,1.339933559782995331e-01,0.000000000000000000e+00
2.350000000000000144e-01,2.723621244424139290e-02,2.698200890303452115e-01,2.521752056045168874e-02,-4.273244096195454866e-01,2.342210195354414368e-02,-2.465275762385633340e-01,1.050511422743749534e-01,0.000000000000000000e+00
2.375000000000000167e-01,2.791086230070221469e-02,2.698861947185327570e-01,2.415205995695195521e-02,-4.250143893123033423e-01,2.280538178265853130e-02,-2.468339696821357787e-01,7.686400137436066871e-02,0.000000000000000000e+00
2.399999999999999911e-01,2.858557638204309304e-02,2.698718551008877364e-01,2.309259365736782144e-02,-4.225303020727857461e-01,2.218800452588086738e-02,-2.470534617754507611e-01,4.942409678864301270e-02,0.000000000000000000e+00
2.424999999999999933e-01,2.926015645941634769e-02,2.697793728699428017e-01,2.203954688469085543e-02,-4.198800742073237058e-01,2.157018579398862004e-02,-2.471873729069667680e-01,2.272304826877125095e-02,0.000000000000000000e+00
2.449999999999999956e-01,2.993441002377911567e-02,2.696110209431055171e-01,2.099332526598100823e-02,-4.170714557631923780e-01,2.095213785068219051e-02,-2.472370598708346912e-01,-3.248007689009568821e-03,0.000000000000000000e+00
