time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
1.300000000000000044e-01,-7.236296532551279902e-05,4.149405186510777416e-03,2.474102532770225057e-02,1.074412554129198782e-01,1.977834413797205024e-02,1.552559993767647049e-02,1.692317335881515436e-02,-1.552552577202272709e-02,6.425470416929004447e-01,0.000000000000000000e+00
1.325000000000000067e-01,-5.968375620913508319e-05,6.002666678160330227e-03,2.500204194091707605e-02,1.013364463064523602e-01,1.981502525690721772e-02,1.380509283393984918e-02,1.688333315941820470e-02,-1.635012866958021616e-02,6.600675108355382736e-01,0.000000000000000000e+00
1.350000000000000089e-01,-4.230822033906124838e-05,7.905631284341612525e-03,2.524754023920895707e-02,9.503078186077144884e-02,1.984730026944474257e-02,1.200139833045041869e-02,1.684140548140529436e-02,-1.719540868074498005e-02,6.759461310117405031e-01,0.000000000000000000e+00
1.375000000000000111e-01,-2.011831592189237863e-05,9.853346481810366583e-03,2.547704905298595057e-02,8.854888691577560145e-02,1.987496638888947356e-02,1.011868224399962296e-02,1.679733940038714846e-02,-1.806074386217806915e-02,6.902205338916418409e-01,0.000000000000000000e+00
1.400000000000000133e-01,6.991772898082331884e-06,1.184098526749107795e-02,2.569015763839451252e-02,8.191447376323920948e-02,1.989783138697843318e-02,8.161222022699353776e-03,1.675108560012876849e-02,-1.894547000533060993e-02,7.029308565912413265e-01,0.000000000000000000e+00
1.424999999999999878e-01,3.911595849375914191e-05,1.386385288247895739e-02,2.588651337277549092e-02,7.515032465227430847e-02,1.991571384726381275e-02,6.133386355300442933e-03,1.670259647539049791e-02,-1.984888290700521571e-02,7.141193528628579923e-01,0.000000000000000000e+00
1.449999999999999900e-01,7.633658757382854980e-05,1.591739239825596536e-02,2.606581941390296794e-02,6.827828019085402378e-02,1.992844336876686828e-02,4.039615780355545679e-03,1.665182622900119105e-02,-2.077024071078290013e-02,7.238300410896916226e-01,0.000000000000000000e+00
1.474999999999999922e-01,1.187247916600853430e-04,1.799718927483813860e-02,2.622783233688321530e-02,6.131923296522312494e-02,1.993586072241274390e-02,1.884404302500558136e-03,1.659873096300360645e-02,-2.170876630555061346e-02,7.321083856047798655e-01,0.000000000000000000e+00
1.499999999999999944e-01,1.663408477794195927e-04,2.009897499011262245e-02,2.637235976098371154e-02,5.429312576836066440e-02,1.993781796276683158e-02,-3.277179828127781483e-04,1.654326876374592054e-02,-2.266364976794926073e-02,7.390010081694842192e-01,0.000000000000000000e+00
1.524999999999999967e-01,2.192345471625505471e-04,2.221862983012812612e-02,2.649925797721987622e-02,4.721895389152455658e-02,1.993417849758991750e-02,-2.592201260062589659e-03,1.648539978082537091e-02,-2.363405083618351499e-02,7.445554267438927454e-01,0.000000000000000000e+00
1.549999999999999989e-01,2.774455699550563200e-04,2.435218492151376007e-02,2.660842958623456031e-02,4.011477098970825383e-02,1.992481711771363143e-02,-4.904491368457027448e-03,1.642508629982062512e-02,-2.461910140328628718e-02,7.488198189608326061e-01,0.000000000000000000e+00
1.575000000000000011e-01,3.410038641393435110e-04,2.649582357946125497e-02,2.669982115484740431e-02,3.299769808297716572e-02,1.990961998971100058e-02,-7.260044193454419370e-03,1.636229280877846137e-02,-2.561790801860509836e-02,7.518428079757182303e-01,0.000000000000000000e+00
1.600000000000000033e-01,4.099300270409416162e-04,2.864588203775393638e-02,2.677342089861456387e-02,2.588393530153911340e-02,1.988848461380072000e-02,-9.654339091250093915e-03,1.629698605844749973e-02,-2.662955438696894273e-02,7.536732686052567409e-01,0.000000000000000000e+00
1.625000000000000056e-01,4.842356879507883106e-04,3.079884962110070873e-02,2.682925639681113528e-02,1.878877602345618153e-02,1.986131974937909925e-02,-1.208289136559627212e-02,1.622913511627724001e-02,-2.765310385569627952e-02,7.543601518895179936e-01,0.000000000000000000e+00
1.650000000000000078e-01,5.639238905387367485e-04,3.295136841447440790e-02,2.686739234541764623e-02,1.172662309052625168e-02,1.982804531052181560e-02,-1.454126381901922616e-02,1.615871141422437623e-02,-2.868760188031175412e-02,7.539523264140619574e-01,0.000000000000000000e+00
1.675000000000000100e-01,6.489894738639525153e-04,3.510023247920077832e-02,2.688792835294723238e-02,4.711006820451830827e-03,1.978859223373944168e-02,-1.702507740281104451e-02,1.608568879043025673e-02,-2.973207846054598535e-02,7.524984349120753535e-01,0.000000000000000000e+00
1.700000000000000122e-01,7.394194509066185240e-04,3.724238666113880575e-02,2.689099678328239068e-02,-2.245395437647968936e-03,1.974290232020725969e-02,-1.953002099213395348e-02,1.601004352485363783e-02,-3.078555053889446211e-02,7.500467648311777147e-01,0.000000000000000000e+00
1.724999999999999867e-01,8.351933836537280605e-04,3.937492503237893099e-02,2.687676064909050658e-02,-9.130738431669229230e-03,1.969092805462193882e-02,-2.205186031421412299e-02,1.593175436896121858e-02,-3.184702435470358056e-02,7.466451316970652563e-01,0.000000000000000000e+00
1.749999999999999889e-01,9.362837538708818378e-04,4.149508900440924963e-02,2.684541155884813055e-02,-1.593398702346435214e-02,1.963263240276592880e-02,-2.458644605894579754e-02,1.585080256959524661e-02,-3.291549774743031398e-02,7.423407742368208773e-01,0.000000000000000000e+00
1.774999999999999911e-01,1.042656328782942590e-03,4.360026514761098509e-02,2.679716772001823968e-02,-2.264489327874319100e-02,1.956798858978576333e-02,-2.712972120230099093e-02,1.576717188715250420e-02,-3.398996240338323510e-02,7.371802603399064679e-01,0.000000000000000000e+00
1.799999999999999933e-01,1.154270520970052246e-03,4.568798274919637359e-02,2.673227200048626170e-02,-2.925397279657510410e-02,1.949697986111337961e-02,-2.967772757376758996e-02,1.568084860822241064e-02,-3.506940604089372332e-02,7.312094030357334518e-01,0.000000000000000000e+00
1.824999999999999956e-01,1.271079741862679623e-03,4.775591113925125447e-02,2.665099004996421966e-02,-3.575248042934472958e-02,1.941959922788068921e-02,-3.222661169964098626e-02,1.559182155284384412e-02,-3.615281452948415630e-02,7.244731857540096520e-01,0.000000000000000000e+00
1.849999999999999978e-01,1.393031748290727645e-03,4.980185681235137218e-02,2.655360848271305640e-02,-4.213238552999162834e-02,1.933584919859757806e-02,-3.477262995439139859e-02,1.550008207655060796e-02,-3.723917393919260604e-02,7.170156962099181186e-01,0.000000000000000000e+00
