time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
2.750000000000000014e-02,4.417988023386308378e-04,1.748229189201292930e-02,1.515282112258339343e-02,-8.149462832451588590e-02,1.749193459975974252e-02,4.893330135534740104e-03,1.745315900127534722e-02,-2.738757630816072638e-05,-4.259679218043620486e-01,0.000000000000000000e+00
2.999999999999999889e-02,4.836214077838989840e-04,1.593889056317707165e-02,1.496227171365264140e-02,-7.073814646501541681e-02,1.750550373795934506e-02,5.977276022646666777e-03,1.745307469729229927e-02,-4.072538254378876773e-05,-4.971334931541713797e-01,0.000000000000000000e+00
3.250000000000000111e-02,5.213321234919173234e-04,1.420159915194407242e-02,1.480002846785951828e-02,-5.890067075548119369e-02,1.752189322996733703e-02,7.147818984889052485e-03,1.745295169030705237e-02,-5.848991667526846298e-05,-5.513413328036016470e-01,0.000000000000000000e+00
3.500000000000000333e-02,5.545098220050791431e-04,1.232032328788721515e-02,1.466842731447427772e-02,-4.626944901310245384e-02,1.754130566510087030e-02,8.393684317240137152e-03,1.745277783613188860e-02,-8.155359812382536721e-05,-5.904492357543479342e-01,0.000000000000000000e+00
3.749999999999999861e-02,5.828510639588324865e-04,1.033939164516430552e-02,1.456912959928371304e-02,-3.309745093794447257e-02,1.756391443054490867e-02,9.702831515874997537e-03,1.745253873374979364e-02,-1.108481556096325537e-04,-6.161558475793589285e-01,0.000000000000000000e+00
4.000000000000000083e-02,6.061567677513244852e-04,8.298039166924071897e-03,1.450320376508987437e-02,-1.960653544697503470e-02,1.758986212969114796e-02,1.106271452263952321e-02,1.745221758712887580e-02,-1.473564846204675519e-04,-6.300127976924985163e-01,0.000000000000000000e+00
4.250000000000000305e-02,6.243200402322767514e-04,6.230853092407402649e-03,1.447119943938481208e-02,-5.990360788052824514e-03,1.761925960746266173e-02,1.246050766068346714e-02,1.745179508785683550e-02,-1.921041633800917253e-04,-6.334360135900507505e-01,0.000000000000000000e+00
4.499999999999999833e-02,6.373150786327711446e-04,4.168184337124611338e-03,1.447321454881641059e-02,7.582944002205958822e-03,1.765218550113384355e-02,1.388330062865102132e-02,1.745124931923873815e-02,-2.461507916886511525e-04,-6.277162553869428674e-01,0.000000000000000000e+00
4.750000000000000056e-02,6.451870601763093306e-04,2.136526652006578205e-03,1.450895603498228437e-02,2.096832878199470646e-02,1.768868624316437266e-02,1.531826560263387788e-02,1.745055568211969707e-02,-3.105812939108890483e-04,-6.140289078528728961e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.480429417253137647e-04,1.588658668156112640e-04,1.457779470353954589e-02,3.404157659753475479e-02,1.772877644984334478e-02,1.675279922569479496e-02,1.744968684236787929e-02,-3.864973060774685694e-04,-5.934430671980694960e-01,0.000000000000000000e+00
5.249999999999999806e-02,6.460430974288200109e-04,-1.744998598587663586e-03,1.467881469848754741e-02,4.669724701073585393e-02,1.777243963619128120e-02,1.817464203153735733e-02,1.744861269967812323e-02,-4.750087475361772357e-04,-5.669299608237244881e-01,0.000000000000000000e+00
5.500000000000000028e-02,6.393937276411072344e-04,-3.558157895995221753e-03,1.481085805572909635e-02,5.884679383446943246e-02,1.781962920367114248e-02,1.957197764221562178e-02,1.744730037712791115e-02,-5.772256598509451549e-04,-5.353707393228154254e-01,0.000000000000000000e+00
5.750000000000000250e-02,6.283399773705895201e-04,-5.266321651387737175e-03,1.497256475462969451e-02,7.041684359253287673e-02,1.787026965287169186e-02,2.093351389264460488e-02,1.744571423073098398e-02,-6.942503796966916114e-04,-4.995636807074725905e-01,0.000000000000000000e+00
5.999999999999999778e-02,6.131597071891012806e-04,-6.857567803837565264e-03,1.516240865325804189e-02,8.134762195598778389e-02,1.792425797849029820e-02,2.224854786221711067e-02,1.744381587808514419e-02,-8.271700983127998601e-04,-4.602308469133419289e-01,0.000000000000000000e+00
6.250000000000000000e-02,5.941578638838930200e-04,-8.322112703105274956e-03,1.537872966227041976e-02,9.159151632378846608e-02,1.798146520868957460e-02,2.350701663283468953e-02,1.744156424509532219e-02,-9.770498476060057984e-04,-4.180242320224355490e-01,0.000000000000000000e+00
6.500000000000000222e-02,5.716614021734456970e-04,-9.652099911896291906e-03,1.561976248393777411e-02,1.011117636031537287e-01,1.804173805525933691e-02,2.469953544112649113e-02,1.743891562966658204e-02,-1.144925942154963834e-03,-3.735314403988077014e-01,0.000000000000000000e+00
6.750000000000000444e-02,5.460147125437021494e-04,-1.084140627747572777e-02,1.588366221652330601e-02,1.098812530943416993e-01,1.810490064500405727e-02,2.581742474942866003e-02,1.743582378120063503e-02,-1.331799897060865091e-03,-3.272809311534547461e-01,0.000000000000000000e+00
7.000000000000000666e-02,5.175755137076399476e-04,-1.188546394973456245e-02,1.616852709999404281e-02,1.178814351874982458e-01,1.817075630641662096e-02,2.685272762467493315e-02,1.743223999468963836e-02,-1.538632833689976710e-03,-2.797468631830402064e-01,0.000000000000000000e+00
