time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.490658503988659095e-02,0.000000000000000000e+00,1.027281427228331490e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.478723849064320308e-05,5.877123639414286865e-03,3.488558680351280111e-02,-8.324138371298358402e-03,9.914405149448564103e-01,0.000000000000000000e+00
1.000000000000000021e-02,5.839911220143674135e-05,1.153095736027577242e-02,3.482408062251506065e-02,-1.620604757497125237e-02,9.565608227859861978e-01,0.000000000000000000e+00
1.499999999999999944e-02,1.297355681749623099e-04,1.696802973750069846e-02,3.472423508453658519e-02,-2.366265488868466924e-02,9.226184131725639892e-01,0.000000000000000000e+00
2.000000000000000042e-02,2.277287492731118294e-04,2.219469133927626930e-02,3.458813556545092122e-02,-3.071032077326238049e-02,8.895899383357934731e-01,0.000000000000000000e+00
2.500000000000000139e-02,3.513421162582835294e-04,2.721711955010815837e-02,3.441778701845758792e-02,-3.736485677520377108e-02,8.574526245296321125e-01,0.000000000000000000e+00
2.999999999999999889e-02,4.995695936488389090e-04,3.204132325795568115e-02,3.421511667504817389e-02,-4.364154287812340577e-02,8.261842566902701801e-01,0.000000000000000000e+00
3.500000000000000333e-02,6.714347386766668672e-04,3.667314740846142063e-02,3.398197666056533561e-02,-4.955514431643305573e-02,7.957631635484214705e-01,0.000000000000000000e+00
4.000000000000000083e-02,8.659899326903252063e-04,4.111827742950554393e-02,3.372014652700895676e-02,-5.511992786514105513e-02,7.661682031953880312e-01,0.000000000000000000e+00
4.499999999999999833e-02,1.082315594363800291e-03,4.538224352947402979e-02,3.343133570567338730e-02,-6.034967762001555713e-02,7.373787490999591521e-01,0.000000000000000000e+00
5.000000000000000278e-02,1.319519414088156893e-03,4.947042487273495270e-02,3.311718588212788500e-02,-6.525771028257583428e-02,7.093746765700776891e-01,0.000000000000000000e+00
5.500000000000000028e-02,1.576735608940987160e-03,5.338805363587696001e-02,3.277927329597964817e-02,-6.985688996446487442e-02,6.821363496507062418e-01,0.000000000000000000e+00
5.999999999999999778e-02,1.853124197646406884e-03,5.714021894828601872e-02,3.241911096778629653e-02,-7.415964252573771509e-02,6.556446084473901426e-01,0.000000000000000000e+00
6.500000000000000222e-02,2.147870294956219679e-03,6.073187072062811998e-02,3.203815085541200647e-02,-7.817796946149326021e-02,6.298807568635365062e-01,0.000000000000000000e+00
7.000000000000000666e-02,2.460183424900631074e-03,6.416782336477150350e-02,3.163778594204989109e-02,-8.192346135109748739e-02,6.048265507383543405e-01,0.000000000000000000e+00
7.499999999999999722e-02,2.789296852374433758e-03,6.745275940862803521e-02,3.121935225806256320e-02,-8.540731088400831117e-02,5.804641863716568650e-01,0.000000000000000000e+00
8.000000000000000167e-02,3.134466932541819621e-03,7.059123300932293454e-02,3.078413083872339612e-02,-8.864032547592796962e-02,5.567762894212615610e-01,0.000000000000000000e+00
8.500000000000000611e-02,3.494972477559806206e-03,7.358767336801962100e-02,3.033334961987320735e-02,-9.163293948868832250e-02,5.337459041584885489e-01,0.000000000000000000e+00
8.999999999999999667e-02,3.870114140136687864e-03,7.644638804963402312e-02,2.986818527344090729e-02,-9.439522606692668516e-02,5.113564830672212569e-01,0.000000000000000000e+00
9.500000000000000111e-02,4.259213813457832752e-03,7.917156621057398758e-02,2.938976498471227577e-02,-9.693690860424196420e-02,4.895918767720977005e-01,0.000000000000000000e+00
1.000000000000000056e-01,4.661614047026579367e-03,8.176728173753566864e-02,2.889916817316853445e-02,-9.926737185113962414e-02,4.684363242816474981e-01,0.000000000000000000e+00
1.049999999999999961e-01,5.076677477982873693e-03,8.423749630028237734e-02,2.839742815865581652e-02,-1.013956726766843258e-01,4.478744435325187068e-01,0.000000000000000000e+00
1.100000000000000006e-01,5.503786277476651126e-03,8.658606232122365021e-02,2.788553377458799845e-02,-1.033305504953855036e-01,4.278912222213581140e-01,0.000000000000000000e+00
1.150000000000000050e-01,5.942341611686777908e-03,8.881672586450425899e-02,2.736443092982875774e-02,-1.050804373704477129e-01,4.084720089113763608e-01,0.000000000000000000e+00
1.199999999999999956e-01,6.391763117089662577e-03,9.093312944720623181e-02,2.683502412084401087e-02,-1.066534678041263506e-01,3.896025044011478533e-01,0.000000000000000000e+00
1.250000000000000000e-01,6.851488389594382125e-03,9.293881477516148515e-02,2.629817789566315372e-02,-1.080574882255443681e-01,3.712687533437322163e-01,0.000000000000000000e+00
1.300000000000000044e-01,7.320972487173407761e-03,9.483722540577028959e-02,2.575471827113669926e-02,-1.093000661859468842e-01,3.534571361047654792e-01,0.000000000000000000e+00
1.350000000000000089e-01,7.799687445629740166e-03,9.663170934012053903e-02,2.520543410492896361e-02,-1.103884992710017082e-01,3.361543608487386203e-01,0.000000000000000000e+00
1.400000000000000133e-01,8.287121807152495606e-03,9.832552154660657850e-02,2.465107842363729179e-02,-1.113298237393941098e-01,3.193474558432468635e-01,0.000000000000000000e+00
1.449999999999999900e-01,8.782780161323736068e-03,9.992182641815315625e-02,2.409236970838396150e-02,-1.121308228966161613e-01,3.030237619715530073e-01,0.000000000000000000e+00
1.499999999999999944e-01,9.286182698249653006e-03,1.014237001650609427e-01,2.352999313918323343e-02,-1.127980352125140390e-01,2.871709254443612913e-01,0.000000000000000000e+00
1.549999999999999989e-01,9.796864773499074433e-03,1.028341331454046270e-01,2.296460179934406431e-02,-1.133377621908320948e-01,2.717768907022301006e-01,0.000000000000000000e+00
1.600000000000000033e-01,1.031437648454171241e-02,1.041560321348332235e-01,2.239681784112851001e-02,-1.137560759986800535e-01,2.568298935005717265e-01,0.000000000000000000e+00
1.650000000000000078e-01,1.083828225838762149e-02,1.053922225375447108e-01,2.182723361384704408e-02,-1.140588268635494978e-01,2.423184541696826733e-01,0.000000000000000000e+00
1.700000000000000122e-01,1.136816045013802623e-02,1.065454505401333685e-01,2.125641275553457818e-02,-1.142516502452182586e-01,2.282313710427186226e-01,0.000000000000000000e+00
1.750000000000000167e-01,1.190360295216596684e-02,1.076183852099385219e-01,2.068489124931496143e-02,-1.143399737896055035e-01,2.145577140449846931e-01,0.000000000000000000e+00
1.799999999999999933e-01,1.244421481365321457e-02,1.086136205394572785e-01,2.011317844552712106e-02,-1.143290240713769612e-01,2.012868184383344028e-01,0.000000000000000000e+00
1.849999999999999978e-01,1.298961387021755134e-02,1.095336774383211947e-01,1.954175805065259952e-02,-1.142238331318473910e-01,1.884082787148717575e-01,0.000000000000000000e+00
