time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.188432829092067903e-04,4.753398044838112041e-02,1.743414278154688246e-01,-7.659599880430863206e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.753124698325077299e-04,9.505155887878873056e-02,1.737669468605835266e-01,-1.532030033259759727e-01,8.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,1.069343485372601646e-03,1.425599039626306574e-01,1.728092837617120903e-01,-2.298784162723578328e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.900908008415064417e-03,1.900661465238193126e-01,1.714679531766549747e-01,-3.066795388934729916e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.970013249210297877e-03,2.375773659724123021e-01,1.697421835581734151e-01,-3.836635479477307209e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,4.276701656993125641e-03,2.851005760421574386e-01,1.676309178386369836e-01,-4.608874703710379439e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,5.821050553998651997e-03,3.325364769666456222e-01,1.651328142488800721e-01,-5.381985798367606710e-01,7.899039235692068672e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.597625452370070434e-03,3.774176350369326527e-01,1.622571911605639738e-01,-6.107703705828796403e-01,7.241397807703123135e+00,0.000000000000000000e+00
4.499999999999999833e-02,9.588657941678698990e-03,4.183565060893598142e-01,1.590375126825796515e-01,-6.758987015373010276e-01,6.618732521915827505e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.177498292828254266e-02,4.555699612882305183e-01,1.555098474222547378e-01,-7.340390156733982430e-01,6.029597918195698014e+00,0.000000000000000000e+00
5.500000000000000028e-02,1.413849521026836267e-02,4.892651849383818918e-01,1.517080457676713567e-01,-7.856234466149769613e-01,5.472613896142885181e+00,0.000000000000000000e+00
5.999999999999999778e-02,1.666210245658769629e-02,5.196402268830585536e-01,1.476638522925899089e-01,-8.310624386486848980e-01,4.946457169767214168e+00,0.000000000000000000e+00
6.500000000000000222e-02,1.932968076278321692e-02,5.468844825277180410e-01,1.434070105897711223e-01,-8.707461596996604047e-01,4.449854227781072424e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.212603244764795030e-02,5.711791108580082099e-01,1.389653615034946166e-01,-9.050457328454546424e-01,3.981575632224686245e+00,0.000000000000000000e+00
7.499999999999999722e-02,2.503684580512903837e-02,5.926974000502517326e-01,1.343649356072924850e-01,-9.343143106308311463e-01,3.540431489146186550e+00,0.000000000000000000e+00
8.000000000000000167e-02,2.804865657164239828e-02,6.116050894064036791e-01,1.296300406556696316e-01,-9.588880147719675007e-01,3.125267930386888438e+00,0.000000000000000000e+00
8.500000000000000611e-02,3.114881091035287541e-02,6.280606554325079971e-01,1.247833446303131116e-01,-9.790867619416722123e-01,2.734964453938660611e+00,0.000000000000000000e+00
8.999999999999999667e-02,3.432542975076178365e-02,6.422155689574806647e-01,1.198459549028398768e-01,-9.952149943130617071e-01,2.368431980886892774e+00,0.000000000000000000e+00
9.500000000000000111e-02,3.756737435415594822e-02,6.542145292852727945e-01,1.148374939478706280e-01,-1.007562331488115026e+00,2.024611498871928816e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.086421300325539935e-02,6.641956805083216731e-01,1.097761719621735549e-01,-1.016404158410693315e+00,1.702473174694954849e+00,0.000000000000000000e+00
1.049999999999999961e-01,4.420618873798164844e-02,6.722908142980392743e-01,1.046788566775523760e-01,-1.022002161906862217e+00,1.401015831682757451e+00,0.000000000000000000e+00
1.100000000000000006e-01,4.758418807894580771e-02,6.786255627385895384e-01,9.956114059662010685e-02,-1.024604826642481648e+00,1.119266700331801090e+00,0.000000000000000000e+00
1.150000000000000050e-01,5.098971069635558490e-02,6.833195840893451223e-01,9.443740583101979669e-02,-1.024447899562997755e+00,8.562813632783630169e-01,0.000000000000000000e+00
1.199999999999999956e-01,5.441483999491381063e-02,6.864867437521368077e-01,8.932088668034428303e-02,-1.021754830299082206e+00,6.111438275618041871e-01,0.000000000000000000e+00
1.250000000000000000e-01,5.785221459528903237e-02,6.882352921822945113e-01,8.422373005622443842e-02,-1.016737193593475252e+00,3.829666682938945854e-01,0.000000000000000000e+00
1.300000000000000044e-01,6.129500070023891078e-02,6.886680410161712951e-01,7.915705382902282761e-02,-1.009595098532821478e+00,1.708911981022271931e-01,0.000000000000000000e+00
1.350000000000000089e-01,6.473686533880726457e-02,6.878825382895287222e-01,7.413100315350433511e-02,-1.000517588252700651e+00,-2.591237399241030914e-02,0.000000000000000000e+00
1.400000000000000133e-01,6.817195048552600334e-02,6.859712432868981802e-01,6.915480481398568469e-02,-9.896830328200754145e-01,-2.082448223121122766e-01,0.000000000000000000e+00
