time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,0.000000000000000000e+00,4.345837721099558237e+00,0.000000000000000000e+00
5.000000000000000104e-03,6.151864959398102572e-05,2.447361547360753231e-02,1.744543408292514031e-01,-3.117148905667950151e-02,4.218156966636301242e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.434158847483573404e-04,4.815501663514079600e-02,1.742237835088717435e-01,-6.079888111548576585e-02,4.093520353541765466e+00,0.000000000000000000e+00
1.499999999999999944e-02,5.417838265026657862e-04,7.106537385792555117e-02,1.738488300548498566e-01,-8.893928134318417056e-02,3.971852236199628017e+00,0.000000000000000000e+00
2.000000000000000042e-02,9.528188731036243628e-04,9.322523260359898145e-02,1.733367771050436379e-01,-1.156476728895403511e-01,3.853080183630992028e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.472818648255485620e-03,1.146545422561029148e-01,1.726946514804486577e-01,-1.409770153375434210e-01,3.737134755153011412e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.098179089236399883e-03,1.353726832421510706e-01,1.719292200674444882e-01,-1.649783381060600240e-01,3.623949288411600467e+00,0.000000000000000000e+00
3.500000000000000333e-02,2.825391666442873990e-03,1.553984924917168331e-01,1.710469992454044519e-01,-1.877008289241931527e-01,3.513459699923092483e+00,0.000000000000000000e+00
4.000000000000000083e-02,3.651040726214790921e-03,1.747502873007182322e-01,1.700542638839536436e-01,-2.091919175239017326e-01,3.405604298096846172e+00,0.000000000000000000e+00
4.499999999999999833e-02,4.571800949120911201e-03,1.934458876643410929e-01,1.689570559333737065e-01,-2.294973547179350315e-01,3.300323608579693424e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.584434916238462804e-03,2.115026371537452876e-01,1.677611926307780721e-01,-2.486612870449931567e-01,3.197560211658649010e+00,0.000000000000000000e+00
5.500000000000000028e-02,6.685790776331497834e-03,2.289374224115824086e-01,1.664722743437447028e-01,-2.667263271742094100e-01,3.097258591376279124e+00,0.000000000000000000e+00
5.999999999999999778e-02,7.872800007213690693e-03,2.457666913431055533e-01,1.650956920721155796e-01,-2.837336202673765850e-01,2.999364995949932222e+00,0.000000000000000000e+00
6.500000000000000222e-02,9.142475264966247461e-03,2.620064700799194513e-01,1.636366346276711126e-01,-2.997229065004990978e-01,2.903827309038609972e+00,0.000000000000000000e+00
7.000000000000000666e-02,1.049190831506563101e-02,2.776723787928044307e-01,1.621000955103771013e-01,-3.147325799468242979e-01,2.810594931366998228e+00,0.000000000000000000e+00
7.499999999999999722e-02,1.191826803985493455e-02,2.927796464287292233e-01,1.604908794988943177e-01,-3.287997440219807554e-01,2.719618672192977815e+00,0.000000000000000000e+00
8.000000000000000167e-02,1.341879851716379878e-02,3.073431244452877187e-01,1.588136089720450506e-01,-3.419602636886397429e-01,2.630850650090791554e+00,0.000000000000000000e+00
8.500000000000000611e-02,1.499081716524236149e-02,3.213772996134792170e-01,1.570727299769545116e-01,-3.542488146135627236e-01,2.544244202515591358e+00,0.000000000000000000e+00
8.999999999999999667e-02,1.663171294952277973e-02,3.348963059571042344e-01,1.552725180586348452e-01,-3.656989294642981059e-01,2.459753803614796119e+00,0.000000000000000000e+00
